iter	RMSE
0	65.16201453
1	62.64767608
2	60.36023542
3	58.11005236
4	55.92301355
5	53.88093476	6	51.94824417	7	50.15878428	8	48.50486419	9	46.95890401010	45.48472111	11	44.11413412	12	42.81421313	13	41.60718214	14	40.44867015	15	39.35563116	38.33963724
17	17	37.387618	36.51763133
19	35.71350555
20	34.97218612
21	34.28182347
22	33.60851473
23	32.98872096
24	32.4086262
25	31.87467129
26	31.38398089
27	30.94192466
28	30.51445792
29	30.12113702
30	29.763829
31	29.43124328
32	29.1209451
33	28.8428175
34	28.58540241
35	28.34589961
36	28.134136	2837	27.931337	2738	27.745531
39	27.57949025
40	27.42712504
41	27.28105134
42	27.13346556
43	27.00762291
44	26.89384694
45	26.79249219
46	26.69330484
47	26.59804419
48	26.52036312
49	26.45043849	50	26.37238450	51	26.31271035
52	26.26107156
53	26.20053516
54	26.14144786
55	26.08975796
56	26.05127045
57	26.00685145
58	25.97389772
59	25.94002427
60	25.9114127
61	25.87982839
62	25.85315526
63	25.82479064
64	25.80282357
65	25.78229751
66	25.7657741
67	25.74985511
68	25.73723768	69	25.72350369	70	25.70311570	71	25.68034771	72	25.66352672	73	25.6526173	74	25.64283574	75	25.62673775	76	25.61206176	77	25.60367177	78	25.59569878	79	25.58771335
80	25.58249982
81	25.56864981	82	25.55792544
83	25.54826321
84	25.54032235
85	25.53508264
86	25.53210344
87	25.52641012
88	25.51766035
89	25.50986224
90	25.50504366
91	25.500891	2592	25.494192	2593	25.49093	25.94	25.4894	25.495	25.4795	25.96	25.46696	25.97	25.45797	25.98	25.45254726
99	25.44928181
100	25.44459098
101	25.44137332
102	25.43724693
103	25.43022955
104	25.42656219
105	25.4172368
106	25.4096214
107	25.40437697
108	25.39910289
109	25.39665135
110	25.38724662
111	25.38098838
112	25.37773948
113	25.37654778
114	25.3702097
115	25.36594019
116	25.3639044
117	25.35614139
118	25.34900665
119	25.3427196
120	25.33836488
121	25.33410393
122	25.33171348
123	25.32987108
124	25.3238576
125	25.31689666
126	25.31417023
127	25.31108879
128	25.30690147
129	25.30336748
130	25.29018738
131	25.2865779
132	25.27706094
133	25.26706175
134	25.26609521
135	25.26375958
136	25.25743821
137	25.24720006
138	25.2455349
139	25.24351899
140	25.23640616
141	25.23342216
142	25.22520015
143	25.22191152
144	25.21388983
145	25.20886915
146	25.20237588
147	25.19448443
148	25.18985803
149	25.17964266
150	25.17517952
151	25.17151239
152	25.16674073
153	25.16160845
154	25.1583773
155	25.15032079
156	25.13892173
157	25.12922816
158	25.12649468
159	25.11676527
160	25.11197088
161	25.10237402
162	25.09532399
163	25.08990383
164	25.07968726
165	25.07741778
166	25.06719453
167	25.05705749
168	25.04416427
169	25.03275451
170	25.02038527
171	25.01390902
172	25.00673199
173	24.99746255
174	24.98893701
175	24.97862116
176	24.97380967
177	24.96982432
178	24.96144851
179	24.95802977
180	24.95072621
181	24.94214424
182	24.93310177
183	24.92029573
184	24.91155288
185	24.90537486
186	24.89873418
187	24.8877495
188	24.87777904
189	24.86749437
190	24.85954014
191	24.85813964
192	24.84798536
193	24.83893885
194	24.8312198
195	24.81993835
196	24.81008652
197	24.80154126
198	24.78972542
199	24.77858768
200	24.76646157
201	24.75881179
202	24.7463248
203	24.73811066
204	24.72582609
205	24.71714826
206	24.71280945
207	24.70421334
208	24.69590662
209	24.68777973
210	24.67869224
211	24.67239618
212	24.6657157
213	24.65809076
214	24.64534389
215	24.63428306
216	24.62182709
217	24.61065643
218	24.60200802
219	24.58920943
220	24.58420687
221	24.56997951
222	24.56312965
223	24.55700127
224	24.55542764
225	24.54937752
226	24.53902468
227	24.53297007
228	24.52333898
229	24.51498254
230	24.50382796
231	24.49227418
232	24.49078846
233	24.4893396
234	24.4786067
235	24.47706261
236	24.47317517
237	24.4668438
238	24.46197671
239	24.45443242
240	24.45331537
241	24.44216912
242	24.43373011
243	24.427032
244	24.41936446
245	24.41765642
246	24.40721962
247	24.39657222
248	24.38321576
249	24.37337789
250	24.36658084
251	24.35852579
252	24.34983879
253	24.34171352
254	24.33987865
255	24.33428059
256	24.32737029
257	24.32176083
258	24.31296384
259	24.30526032
260	24.29632365
261	24.2908257
