iter	Logloss
220	0.1193936301
221	0.118971648
222	0.1184345465
223	0.1179392842
224	0.1174351878
225	0.1172196987
226	0.1168654788
227	0.1164101554
228	0.1160735214
229	0.1156664797
230	0.1155099989
231	0.1151671805
232	0.1147444032
233	0.1142171581
234	0.1136837129
235	0.1133874937
236	0.1128824709
237	0.1125820557
238	0.1120907707
239	0.1117932781
240	0.1114854033
241	0.1109906164
242	0.1104345226
243	0.1099590136
244	0.1094002871
245	0.1091434895
246	0.1088929651
247	0.1083181504
248	0.1080490932
249	0.1077316888
250	0.107416027
251	0.1071980653
252	0.1071391784
253	0.106849284
254	0.1064827621
255	0.1062972915
256	0.106232903
257	0.1059404979
258	0.1055256666
259	0.1050516899
260	0.1047910255
261	0.1046227784
262	0.1044230723
263	0.1041348042
264	0.103876689
265	0.1034493703
266	0.1030341225
267	0.1027496724
268	0.1023691692
269	0.1021788141
270	0.1019068214
271	0.1015097006
272	0.1011035803
273	0.1010226019
274	0.1007751903
275	0.1004091675
276	0.100023577
277	0.09982453474
278	0.09956102646
279	0.09929282779
280	0.09912364283
281	0.09863521737
282	0.0982312345
283	0.09776545298
284	0.09756302362
285	0.09739010044
286	0.09698310345
287	0.09680351774
288	0.09661549819
289	0.0961836408
290	0.0959778639
291	0.09575255897
292	0.09552628477
293	0.09538650374
294	0.09509489679
295	0.09496831923
296	0.09479124015
297	0.0946007656
298	0.09432289299
299	0.09420575576
300	0.09385481644
301	0.09368697693
302	0.09339749866
303	0.09310329051
304	0.09291257069
305	0.09267411965
306	0.09249981476
307	0.09227040425
308	0.0920343848
309	0.09188704195
310	0.0916620551
311	0.09135693987
312	0.09112872011
313	0.09086387967
314	0.09050923529
315	0.09037873491
316	0.09005027362
317	0.08969787316
318	0.08931671425
319	0.08921819077
320	0.08898527132
321	0.08880699312
322	0.08862026488
323	0.08851565954
324	0.08840507588
325	0.0882248535
326	0.08781160272
327	0.08749718273
328	0.08736046747
329	0.08705850282
330	0.08692891305
331	0.08671377851
332	0.08648198691
333	0.08613864176
334	0.08582739601
335	0.08560120786
336	0.08547808724
337	0.08534639402
338	0.08507925074
339	0.08492657103
340	0.08467200619
341	0.08441311303
342	0.08420620038
343	0.08401184186
344	0.08371863689
345	0.08355022242
346	0.08326908244
347	0.08303888629
348	0.08280730873
349	0.08269517552
350	0.08257661715
351	0.08243562174
352	0.08230011266
353	0.08213945353
354	0.08190200459
355	0.08178417351
356	0.08161233322
357	0.0813375892
358	0.081150072
359	0.08110494732
360	0.08096444871
361	0.0807649126
362	0.08072337817
363	0.08059408091
364	0.08032204902
365	0.08018239622
366	0.08002686355
367	0.07971983583
368	0.07951040149
369	0.07936499128
370	0.07924123066
371	0.07910303586
372	0.07903845545
373	0.07881752494
374	0.07864552131
375	0.07835944266
376	0.07804945753
377	0.07793197655
378	0.07784429377
379	0.07774255626
380	0.0776342023
381	0.07753149614
382	0.07725527697
383	0.07718644052
384	0.0769673635
385	0.07682249615
386	0.07650147295
387	0.07630434596
388	0.07616585836
389	0.07597856054
390	0.07592495965
391	0.07579192891
392	0.07564170949
393	0.07546039439
394	0.07531602601
395	0.07521278151
396	0.07496916646
397	0.0747405377
398	0.07460879901
399	0.07432768584
400	0.0741805369
401	0.07406280383
402	0.073879838
403	0.07375027214
404	0.07363778936
405	0.07341107568
406	0.07326181857
407	0.07295119366
408	0.07283150952
409	0.07265217665
410	0.07255492173
411	0.07233414478
412	0.0720860122
413	0.07195304003
414	0.07187648116
415	0.07172500776
416	0.07159387635
417	0.07137731875
418	0.07125399482
419	0.07098740796
420	0.07086379746
421	0.07069343304
422	0.07054876577
423	0.07046768813
424	0.07034614995
425	0.07016959961
426	0.07008521201
427	0.06991052362
428	0.06973849847
429	0.06963794041
430	0.06957059245
431	0.06948264752
432	0.06933175429
433	0.06910125701
434	0.06881915084
435	0.06873388653
436	0.06869607802
437	0.06860948531
438	0.06837963283
439	0.06826133645
440	0.06815619445
441	0.06794157252
442	0.06773472289
443	0.06770432601
444	0.06753435335
445	0.067436252
446	0.06738047354
447	0.06721565906
448	0.06711344254
449	0.06697537509
450	0.06681679194
451	0.06671543234
452	0.06661846627
453	0.0664890676
454	0.06637146471
455	0.06630984306
456	0.06608908033
457	0.06593724414
458	0.06588505609
459	0.06580251907
460	0.06570098163
461	0.06557087807
462	0.06542983371
463	0.06533811731
464	0.06512722705
465	0.06492081871
466	0.06481915698
467	0.06470438757
468	0.06463304155
469	0.0645472753
470	0.06448819161
471	0.06433394048
472	0.0642488493
473	0.06403249313
474	0.06390699297
475	0.0637752836
476	0.06358301822
477	0.06347739969
478	0.06337846844
479	0.06328618938
480	0.06318645857
481	0.06297059558
482	0.06288174314
483	0.06267913865
484	0.06233439514
485	0.06227476167
486	0.06210558429
487	0.06199435297
488	0.06190756845
489	0.06184715937
490	0.06168111996
491	0.0615980065
492	0.06146812753
493	0.06139894328
494	0.06131613979
495	0.0613023682
496	0.06119263523
497	0.06101044679
498	0.06090296442
499	0.06083195116
500	0.06080100164
501	0.06067245647
502	0.06062280406
503	0.06050400019
504	0.06042022949
505	0.06017089226
506	0.05999661548
507	0.05984340402
508	0.05974299267
509	0.05965521557
510	0.05956387127
511	0.05947614454
512	0.05930453364
513	0.05919289716
514	0.05901903654
515	0.05890821432
516	0.05886449821
517	0.05874558114
518	0.05870287462
519	0.05864269245
520	0.05858263381
521	0.05852884275
522	0.05848872008
523	0.05839912396
524	0.05827189765
525	0.05819067951
526	0.05803919362
527	0.05785223624
528	0.05765835577
529	0.05753016599
530	0.05739735567
531	0.05733429769
532	0.05725827261
533	0.05711290609
534	0.05699145892
535	0.05687271188
536	0.05684263602
537	0.05669298402
538	0.05652937077
539	0.05642527162
540	0.05634854731
541	0.05623278028
542	0.05615708953
543	0.05610904354
544	0.05604723787
545	0.05597265949
546	0.05586645613
547	0.05577803169
548	0.05574055268
549	0.05566154379
550	0.05556885207
551	0.05547993308
552	0.05542518752
553	0.05536916539
554	0.05534435287
555	0.05525359284
556	0.05520023472
557	0.0550181682
558	0.05477991787
559	0.05467063782
560	0.05457984307
561	0.05450441921
562	0.05437194341
563	0.05430557173
564	0.0542135123
565	0.05406158412
566	0.05401771282
567	0.05390006082
568	0.05379467436
569	0.0536726089
570	0.05358485344
571	0.05339396593
572	0.05323834026
573	0.05318930702
574	0.05311528752
575	0.05305471045
576	0.0529960331
577	0.05294212796
578	0.05288348323
579	0.05283818852
580	0.05279749289
581	0.05264301697
582	0.05253481531
583	0.05244162165
584	0.05229314406
585	0.05217773272
586	0.052100474
587	0.05203629372
588	0.05194161416
589	0.05177534936
590	0.05169002341
591	0.0516166862
592	0.05154095902
593	0.05148535432
594	0.05139194004
595	0.05131831736
596	0.05128727063
597	0.05126514889
598	0.0510659615
599	0.05099883295
600	0.05083853847
601	0.0507115114
602	0.0506695174
603	0.0506327097
604	0.05048554211
605	0.0503885094
606	0.0503221045
607	0.05019647032
608	0.05012357668
609	0.05002350851
610	0.04995729259
611	0.04986046093
612	0.04982621663
613	0.04976942212
614	0.04973602571
615	0.04971487148
616	0.04956556377
617	0.04949268417
618	0.0492935631
619	0.04925761535
620	0.04915994133
621	0.04907945932
622	0.04903730018
623	0.04898911947
624	0.04885235454
625	0.04869027997
626	0.04863815998
627	0.04855653797
628	0.04852886333
629	0.04832144436
630	0.04820491202
631	0.04809649462
632	0.04803637459
633	0.04800470799
634	0.04792320237
635	0.04783462056
636	0.04776511227
637	0.04771306289
638	0.04766865257
639	0.04759920873
640	0.04750766466
641	0.04747987082
642	0.04741012012
643	0.04727500134
644	0.04725718269
645	0.04714999935
646	0.04708820313
647	0.04699584081
648	0.04687048513
649	0.04679365067
650	0.0466889476
651	0.04663995513
652	0.0465837469
653	0.04653507786
654	0.04652048362
655	0.04646384556
656	0.04642829576
657	0.0463043043
658	0.04627043533
659	0.04622981597
660	0.0461871281
661	0.04617184244
662	0.04608765465
663	0.04601392366
664	0.04597373185
665	0.04588129627
666	0.04574819387
667	0.04559437217
668	0.04555717996
669	0.04546700518
670	0.04533570077
671	0.04526212007
672	0.04519684048
673	0.04515042755
674	0.04506546558
675	0.0449819275
676	0.04488445952
677	0.04478856029
678	0.04475190498
679	0.0446440608
680	0.04451569331
681	0.04447683376
682	0.04443074878
683	0.04439342125
684	0.04432257415
685	0.04429949928
686	0.04425935261
687	0.04412922722
688	0.04406110635
689	0.04392082983
690	0.04385360904
691	0.04376028001
692	0.04372697075
693	0.04361487174
694	0.04357510775
695	0.0434386482
696	0.04330195803
697	0.04323761382
698	0.04314890583
699	0.04306567147
700	0.04303336991
701	0.0429993336
702	0.04286080988
703	0.04272910853
704	0.04269093877
705	0.04261977471
706	0.04257781459
707	0.04252362942
708	0.04239107411
709	0.04235489547
710	0.04227514193
711	0.04221486034
712	0.04215480659
713	0.04201563826
714	0.04196980506
715	0.04185059119
716	0.04169040778
717	0.04159487067
718	0.04152303664
719	0.04149327361
720	0.0413780297
721	0.04127715225
722	0.0412571111
723	0.04118599314
724	0.04113817305
725	0.04109002639
726	0.04105240052
727	0.04098583209
728	0.04082646628
729	0.04070969278
730	0.0406083069
731	0.04055803244
732	0.04052347259
733	0.04048565762
734	0.04045526534
735	0.04038915356
736	0.04033041897
737	0.04029302522
738	0.04024226561
739	0.04018127405
740	0.04013350962
741	0.04009073989
742	0.04004579937
743	0.04000702994
744	0.03995676937
745	0.03988903886
746	0.0398524239
747	0.03978631495
748	0.03975124696
749	0.03968944865
750	0.03964156775
751	0.0395324509
752	0.03946379504
753	0.03944040566
754	0.03934401352
755	0.03927590772
756	0.03913316245
757	0.03906272458
758	0.03897605909
759	0.03890614656
760	0.03888502302
761	0.03877594329
762	0.03871419043
763	0.03865407675
764	0.0386036383
765	0.03855175816
766	0.03845055254
767	0.03837664389
768	0.03833897135
769	0.03830218023
770	0.03820790745
771	0.03815243895
772	0.038085628
773	0.03803491992
774	0.03799574021
775	0.03788908711
776	0.03786796221
777	0.03782277371
778	0.03775922861
779	0.03773428661
780	0.03769037583
781	0.0376489067
782	0.03753620593
783	0.03747296152
784	0.03742340237
785	0.0373409817
786	0.03728373814
787	0.03724270035
788	0.03719105235
789	0.03714629059
790	0.03712521628
791	0.03705021792
792	0.03699114797
793	0.03695412701
794	0.0368757193
795	0.03684582124
796	0.03682508722
797	0.03680302327
798	0.03667468488
799	0.03658819597
800	0.03655510893
801	0.03653404563
802	0.03651129205
803	0.03641151181
804	0.03635282304
805	0.03629741385
806	0.03620712096
807	0.03616685771
808	0.03610713267
809	0.03607362923
810	0.03602141211
811	0.03599055062
812	0.03595596167
813	0.03578362768
814	0.03573325038
815	0.03567593043
816	0.03559642009
817	0.0355554838
818	0.03547267409
819	0.03535953449
820	0.0353065405
821	0.03523848229
822	0.03518918311
823	0.03510269985
824	0.03505326823
825	0.03501603882
826	0.03496496218
827	0.03492322862
828	0.03484154962
829	0.03479173562
830	0.03476198033
831	0.03472890038
832	0.0346972889
833	0.03467464999
834	0.03462162552
835	0.03459944507
836	0.03457627025
837	0.03451997221
838	0.03448423322
839	0.03440158444
840	0.03436911531
841	0.03427220718
842	0.03419313927
843	0.03413175976
844	0.03407816955
845	0.03400643777
846	0.03398130748
847	0.03394646252
848	0.03391855989
849	0.03388152945
850	0.03379824854
851	0.03376571093
852	0.03372954958
853	0.0336821285
854	0.03361312006
855	0.03356331223
856	0.03353591391
857	0.03346612013
858	0.03343877521
859	0.033405169
860	0.03332875453
861	0.03327663008
862	0.03317930826
863	0.03311949275
864	0.03311147428
865	0.03305372696
866	0.03302150341
867	0.03299422441
868	0.03295949478
869	0.0328513803
870	0.03281424473
871	0.03268125724
872	0.03262953085
873	0.03253917633
874	0.03251490008
875	0.03247462061
876	0.03243880281
877	0.03241015702
878	0.03236519884
879	0.03233364901
880	0.03231046496
881	0.03228248292
882	0.03225989826
883	0.03223256786
884	0.0321463704
885	0.03210773484
886	0.03203652695
887	0.03198668292
888	0.03195956774
889	0.03187845008
890	0.0318462963
891	0.03175992109
892	0.03169876966
893	0.03162567888
894	0.03159876471
895	0.03154637637
896	0.03151048171
897	0.03148352245
898	0.03141282588
899	0.03133482108
900	0.03128723878
901	0.03123650463
902	0.0312053171
903	0.03118238968
904	0.03115335855
905	0.03108202544
906	0.03101409118
907	0.0309707924
908	0.03094480036
909	0.03089672736
910	0.03083971545
911	0.03080344071
912	0.03077650962
913	0.03069801513
914	0.03063481513
915	0.0305954418
916	0.03053740109
917	0.03046842607
918	0.03044324772
919	0.03042159938
920	0.03034666582
921	0.03028197931
922	0.03020938043
923	0.03017481761
924	0.03014999121
925	0.03009247882
926	0.03001548837
927	0.02996338601
928	0.02993387393
929	0.02985578979
930	0.02982445535
931	0.02974812842
932	0.02967565782
933	0.02962922571
934	0.02960885351
935	0.02956248933
936	0.02949650983
937	0.02945716658
938	0.0294089648
939	0.02933890599
940	0.02931869242
941	0.02923027387
942	0.02917987517
943	0.02910954234
944	0.02908552504
945	0.02906216642
946	0.0290386435
947	0.0289669662
948	0.02894578995
949	0.02891879017
950	0.02885278238
951	0.02883017921
952	0.02877475371
953	0.02870235427
954	0.02865639681
955	0.0286348898
956	0.02861168284
957	0.02854557489
958	0.02852276384
959	0.02849454259
960	0.02847465317
961	0.02845285684
962	0.02843500639
963	0.02841353485
964	0.02836965004
965	0.02833390244
966	0.02832430251
967	0.02825458644
968	0.02823133565
969	0.02819894041
970	0.02815785923
971	0.02813686404
972	0.0281132434
973	0.02806185791
974	0.0280378103
975	0.02797066926
976	0.0279305528
977	0.02789315453
978	0.0278724834
979	0.02785710456
980	0.02781301579
981	0.02779448446
982	0.02777466628
983	0.02771390022
984	0.02764996848
985	0.02763066317
986	0.02758728702
987	0.0275293776
988	0.02749893583
989	0.02747920704
990	0.02741069963
991	0.02732761644
992	0.02724904201
993	0.02722938644
994	0.02718724126
995	0.02712263421
996	0.02708031581
997	0.02703246326
998	0.02700072362
999	0.02695496508
